event,points,total_points,rank,rank_sort,overall_rank,percentile_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,43,43,7428544,7522967,7428544,90,0,1000,0,0,3
2,85,128,1458004,1497535,4180222,20,0,999,0,0,9
3,53,181,7676537,7711366,5355135,80,8,1005,0,0,8
4,71,252,578523,600443,3444592,10,8,1008,0,0,1
5,82,334,314542,330656,1665874,5,8,1012,0,0,3
6,52,386,4447060,4503009,1703238,45,8,1016,0,0,7
7,49,435,4138136,4186440,1612743,40,8,1018,1,0,7
8,23,458,9512609,9570042,2654551,95,8,1020,0,0,0
9,45,503,8284421,8360597,3535336,80,8,1022,0,0,8
10,32,535,7698530,7793868,4036404,75,8,1020,0,0,8
11,45,580,6273094,6356996,4287463,60,8,1018,0,0,11
12,61,641,2266725,2316380,3706403,25,8,1014,0,0,1
13,72,713,2686077,2734092,3305759,25,8,1015,0,0,3
14,48,761,8201102,8262446,3840048,80,8,1018,0,0,0
15,48,809,6015194,6097477,3992894,60,8,1019,0,0,0
16,39,848,8145320,8230022,4378406,75,8,1022,0,0,1
17,43,891,8273962,8321079,5045312,80,8,1021,0,0,0
18,35,926,9125859,9177598,5550616,85,8,1019,0,0,0
19,66,992,5641916,5712869,5549312,55,8,1019,0,0,0
20,55,1047,6878840,6960489,5706435,65,8,1019,0,0,1
21,41,1088,8495916,8553500,6019493,80,8,1017,0,0,2
22,55,1143,2174589,2248583,5790966,20,8,1014,0,0,1
23,65,1208,3330328,3430020,5685945,30,8,1014,0,0,2
24,51,1259,8897567,8925626,6306350,80,8,1012,0,0,2
25,77,1336,5551409,5611005,6216871,50,8,1010,0,0,1
26,30,1366,10475172,10500159,6634493,95,8,1011,0,0,0
27,51,1417,6649611,6782050,6659832,60,8,1010,0,0,0
28,24,1441,10947012,10969208,6954978,100,8,1009,0,0,1
29,39,1480,5286216,5357588,6921511,50,8,1007,0,0,0
30,46,1526,5159818,5287287,6881871,50,8,1006,0,0,1
31,35,1561,4892826,5015315,6853343,45,8,1005,0,0,0
32,17,1578,11316515,11320747,7218086,100,8,1004,0,0,0
33,62,1640,4247197,4250517,7103976,40,46,1003,4,0,2
34,32,1672,8860948,8934960,7185222,80,46,1005,0,0,0
35,48,1720,3063923,3190376,7115268,30,46,1005,0,0,1
36,27,1747,10363899,10418416,7267045,95,46,1003,0,0,12
37,41,1788,4826125,4950994,7207406,45,46,1001,0,0,0
38,21,1809,11214173,11229322,7412413,100,46,1001,0,0,1
