,element_in,element_in_cost,element_out,element_out_cost,entry,event,time
0,617,58,698,45,2657791,38,2025-05-22T18:11:23.099881Z
1,530,48,71,59,2657791,38,2025-05-22T18:11:23.099672Z
2,325,39,521,39,2657791,38,2025-05-22T18:11:23.099409Z
3,698,45,617,58,2657791,38,2025-05-22T16:50:04.325108Z
4,71,59,608,43,2657791,38,2025-05-22T16:50:04.324672Z
5,617,58,447,71,2657791,38,2025-05-20T10:38:51.049999Z
6,58,91,401,93,2657791,38,2025-05-20T10:38:51.049771Z
7,99,83,442,43,2657791,38,2025-05-20T10:38:51.049521Z
8,24,61,533,51,2657791,38,2025-05-20T10:38:51.049261Z
9,455,40,163,54,2657791,38,2025-05-20T10:38:51.049028Z
10,388,44,18,65,2657791,38,2025-05-20T10:38:51.048709Z
11,442,43,597,45,2657791,38,2025-05-16T21:42:12.552004Z
12,608,43,432,54,2657791,38,2025-05-16T21:42:12.551798Z
13,17,103,182,105,2657791,38,2025-05-16T21:42:12.551649Z
14,533,51,573,51,2657791,38,2025-05-16T21:42:12.551483Z
15,18,65,255,46,2657791,38,2025-05-16T21:42:12.551316Z
16,521,39,248,50,2657791,38,2025-05-16T21:42:12.551091Z
17,182,105,345,95,2657791,37,2025-05-16T00:01:33.749865Z
18,163,54,339,65,2657791,37,2025-05-16T00:01:33.744128Z
19,447,71,306,53,2657791,36,2025-05-10T03:08:27.094980Z
20,597,45,402,52,2657791,36,2025-05-10T03:08:27.089518Z
21,345,94,182,105,2657791,35,2025-05-02T17:17:57.428625Z
22,306,53,755,76,2657791,34,2025-04-25T11:26:56.961737Z
23,514,75,633,61,2657791,34,2025-04-25T11:26:56.961340Z
24,432,54,571,62,2657791,34,2025-04-25T11:26:56.960912Z
25,402,52,12,45,2657791,34,2025-04-25T11:26:56.960512Z
26,573,51,210,48,2657791,34,2025-04-25T11:26:56.960174Z
27,248,50,554,43,2657791,34,2025-04-25T11:26:56.959901Z
28,210,48,436,46,2657791,33,2025-04-18T02:37:24.023339Z
29,571,62,433,65,2657791,33,2025-04-18T02:31:09.727078Z
30,633,61,71,59,2657791,33,2025-04-18T02:31:09.722153Z
31,755,75,447,66,2657791,31,2025-04-03T07:51:32.586533Z
32,433,66,336,64,2657791,29,2025-03-15T01:09:05.136237Z
33,336,64,398,73,2657791,28,2025-03-06T15:35:47.695946Z
34,554,43,325,40,2657791,28,2025-03-06T15:35:47.691410Z
35,12,46,364,52,2657791,26,2025-02-20T18:01:49.146373Z
36,71,59,247,57,2657791,25,2025-02-05T18:30:51.752972Z
37,70,49,399,49,2657791,25,2025-02-05T18:30:51.749073Z
38,110,63,180,79,2657791,23,2025-01-25T12:01:54.480365Z
39,339,64,162,45,2657791,23,2025-01-25T12:01:54.476745Z
40,399,48,322,48,2657791,21,2025-01-05T12:48:03.209857Z
41,401,91,268,56,2657791,19,2024-12-27T22:33:31.058155Z
42,398,73,17,103,2657791,19,2024-12-27T22:33:31.052342Z
43,247,57,491,66,2657791,17,2024-12-18T20:50:02.962645Z
44,15,56,383,51,2657791,16,2024-12-14T06:52:44.094864Z
45,364,50,19,57,2657791,14,2024-12-02T19:36:34.968941Z
46,322,48,380,44,2657791,14,2024-12-02T19:36:34.968399Z
47,268,56,541,70,2657791,14,2024-12-01T15:00:13.309530Z
48,180,80,82,76,2657791,14,2024-12-01T15:00:13.309271Z
49,17,103,402,50,2657791,14,2024-12-01T15:00:13.309044Z
50,182,109,366,84,2657791,14,2024-12-01T15:00:13.308820Z
51,88,45,506,46,2657791,14,2024-12-01T15:00:13.308523Z
52,162,45,350,61,2657791,14,2024-12-01T15:00:13.308260Z
53,436,46,18,60,2657791,14,2024-12-01T15:00:13.308011Z
54,325,45,91,45,2657791,14,2024-12-01T15:00:13.307692Z
55,541,69,351,151,2657791,13,2024-11-25T21:39:06.006191Z
56,328,131,327,76,2657791,13,2024-11-25T21:39:06.000664Z
57,366,84,348,92,2657791,12,2024-11-21T16:22:33.241531Z
58,491,67,177,64,2657791,11,2024-11-09T03:19:39.792244Z
59,348,92,17,100,2657791,9,2024-10-25T14:45:19.799549Z
60,82,76,251,58,2657791,8,2024-10-18T22:35:35.525405Z
61,506,46,495,55,2657791,8,2024-10-18T22:35:35.519709Z
62,351,153,4,80,2657791,6,2024-09-27T14:55:38.831774Z
63,19,58,328,126,2657791,6,2024-09-27T14:55:38.831235Z
64,327,80,317,75,2657791,6,2024-09-27T14:55:38.826936Z
65,177,65,492,64,2657791,3,2024-08-28T23:58:23.780638Z
66,251,60,82,75,2657791,2,2024-08-23T17:40:41.971610Z
